id_student,final_result,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disabilit1,date_registration,date_unregistration,Assessment 1,Assessmentn-1,Last assessment,Exam,Premoduleforumng,Premodulehomepage,Premoduleoucontent,Premoduleresource,Premodulesubpage,Assess1forumng,Assess1homepage,Assess1oucontent,Assess1resource,Assess1subpage,Assessn_1forumng,Assessn_1homepage,Assessn_1oucontent,Assessn_1resource,Assessn_1subpage,Preexamforumng,Preexamhomepage,Preexamoucontent,Preexamresource,Preexamsubpage
39411,2,2,10,2,6,2,0,60,0,-36,0,70,0,0,0,0,8,0,0,8,44,36,46,0,17,0,0,0,0,0,0,0,0,0,0
39427,1,2,1,3,1,2,0,60,0,-37,223,84,0,0,0,0,2,5,0,3,5,27,16,2,23,0,0,0,0,0,0,0,0,0,0
40184,4,1,11,1,2,1,0,60,0,-106,0,95,92.5,91,100,6,26,27,14,46,139,115,8,21,93,299,287,12,28,175,67,57,0,20,76
40419,3,1,6,2,9,3,1,60,0,-57,0,82,69.5,72,69,0,3,0,0,6,46,24,16,3,3,120,71,66,25,60,18,16,0,13,17
40563,3,2,7,3,6,2,0,60,0,-43,0,94,75.75,52,49,7,24,25,3,18,88,57,8,12,67,68,39,24,5,48,0,1,0,1,3
42818,2,2,4,2,7,2,0,180,1,-124,0,39,0,0,0,22,12,0,0,0,50,31,40,2,30,0,0,0,0,0,0,0,0,0,0
46633,1,2,2,3,6,2,0,60,0,-162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47063,1,1,2,1,7,3,0,120,0,-73,153,43,51.33333333,0,0,0,7,1,1,9,0,12,6,6,21,0,44,9,3,12,0,0,0,0,0
48152,3,2,4,3,10,2,0,120,0,-139,0,59,52,51,47,0,15,9,1,9,19,31,41,5,18,14,37,112,12,12,12,27,5,19,41
49530,1,1,4,3,2,2,1,60,0,-61,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50610,2,2,4,3,8,2,1,70,1,-151,0,90,86,0,0,0,3,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51163,3,1,2,1,9,3,0,60,0,-179,0,87,66.25,60,84,4,7,4,0,11,2,40,126,8,36,43,116,85,38,251,16,82,13,48,95
52494,1,2,1,2,1,2,0,240,0,-190,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57227,3,2,8,2,3,2,1,160,0,-46,0,86,80.25,0,67,63,91,3,0,4,108,165,108,11,81,109,189,19,13,61,128,75,0,13,81
57818,3,1,11,3,5,3,0,60,0,-139,0,94,92.75,96,80,47,74,12,8,146,236,177,116,39,210,305,368,82,44,538,21,47,1,18,54
59275,2,1,9,1,7,2,0,60,0,-72,0,54,52,0,0,30,17,2,0,6,86,47,53,10,27,61,35,88,13,23,0,0,0,0,0
59370,3,1,12,3,6,3,0,180,0,-33,0,82,61.75,61,60,18,22,15,26,42,124,128,61,29,143,264,264,206,26,145,191,85,3,15,86
63566,2,1,7,1,10,1,0,120,0,-85,0,67,64.5,71,36,3,68,15,14,34,8,64,13,31,101,87,180,31,41,193,61,22,0,16,41
63856,3,1,9,3,3,3,1,60,0,-176,0,75,55,43,27,0,6,0,0,0,113,65,26,2,13,111,143,50,37,74,94,41,12,25,49
66047,1,2,8,1,6,2,4,90,1,-166,39,43,0,0,0,0,4,0,0,2,9,15,11,0,7,0,0,0,0,0,0,0,0,0,0
66577,2,2,8,1,4,2,1,60,0,-32,0,85,82,0,0,0,15,5,1,7,8,25,0,8,51,0,5,0,0,0,0,0,0,0,0
67471,3,2,2,2,9,2,2,60,0,-124,0,69,71,69,47,12,60,41,9,49,24,64,39,10,28,40,50,64,21,46,75,63,25,36,171
67505,2,2,13,3,0,3,1,60,0,-29,0,53,68,0,0,1,24,23,1,14,137,125,22,29,120,103,157,74,32,110,0,2,0,0,0
68011,1,1,2,3,1,2,0,180,0,-68,62,76,86,0,0,5,12,4,1,10,70,59,36,21,54,7,13,6,4,8,0,0,0,0,0
68376,3,1,5,1,1,2,0,60,0,-38,0,86,66,0,69,0,18,14,5,34,142,109,12,40,109,135,159,25,19,64,15,22,0,21,27
69489,1,1,3,2,5,2,1,150,0,-157,87,0,0,0,0,0,22,4,1,8,55,4,3,0,3,0,0,0,0,0,0,0,0,0,0
71209,3,1,7,2,8,3,0,60,0,-74,0,67,58.25,50,44,0,4,8,0,0,31,28,2,2,10,113,59,8,2,27,18,34,4,3,13
74130,1,1,1,3,8,2,1,60,0,-201,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74502,3,2,11,2,3,2,0,120,0,-139,0,68,63.5,0,56,17,98,70,24,94,157,157,98,21,88,432,532,279,100,304,437,129,134,31,203
77241,1,1,10,2,2,3,0,60,0,-37,164,61,81,0,0,0,0,0,0,0,89,25,20,3,6,8,8,16,2,5,0,0,0,0,0
78170,2,2,10,2,2,2,0,60,0,-156,0,91,74.75,52,42,38,34,26,14,82,390,216,119,49,181,495,260,132,28,119,94,39,10,10,33
80329,1,1,1,2,5,2,1,120,0,-61,178,73,38,0,0,31,65,11,28,24,18,61,10,4,23,6,70,33,17,32,0,0,0,0,0
80868,3,1,3,2,5,2,0,60,0,-187,0,57,80,74,58,7,70,51,9,32,235,161,171,33,19,660,863,368,76,172,563,390,0,74,130
82088,2,2,6,1,10,3,2,60,0,-67,0,87,77,0,0,37,95,16,13,45,220,243,25,18,75,30,56,10,5,18,0,0,0,0,0
83588,2,1,3,1,8,3,2,60,0,-156,0,79,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84605,1,1,13,3,0,3,0,120,0,-46,170,81,89,0,76,0,5,2,0,5,169,92,72,21,55,127,81,74,7,45,0,7,2,2,4
85325,1,2,1,2,5,2,0,120,0,-124,69,59,0,0,0,0,0,0,0,0,6,20,16,6,26,0,0,0,0,0,0,0,0,0,0
89188,3,2,1,3,8,2,0,60,1,-110,0,77,64.75,48,64,0,11,3,1,11,192,108,47,21,115,344,227,88,30,170,97,21,9,0,27
89727,2,2,11,3,7,2,0,70,0,-75,0,50,57.75,0,0,0,14,10,3,7,55,33,9,5,6,49,49,28,6,26,0,0,0,0,0
90979,2,2,4,1,5,3,0,120,0,-46,0,63,48,0,0,0,8,1,0,2,7,24,24,0,5,33,39,17,3,2,0,0,0,0,0
91354,1,1,12,3,1,2,1,60,1,-46,218,77,73,0,0,4,11,3,0,9,0,10,4,4,10,0,10,5,7,25,0,0,0,0,0
92166,1,1,7,1,1,3,3,60,0,-74,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92312,2,1,11,2,8,2,3,60,0,-54,0,0,0,0,0,4,4,3,0,1,0,6,16,0,2,0,0,0,0,0,0,0,0,0,0
92391,2,2,4,3,7,3,1,60,0,-145,0,69,46.25,0,0,10,19,1,0,9,48,57,3,0,12,2,17,2,9,24,0,0,0,0,0
102850,3,2,3,3,10,3,0,165,0,-39,0,68,91,38,82,2,13,6,3,10,160,103,93,16,86,158,139,176,29,115,331,56,9,15,82
103800,3,1,11,3,7,2,0,90,0,-82,0,63,56.75,41,76,0,1,0,0,0,0,21,8,8,18,0,30,11,7,23,0,14,0,6,4
104643,3,2,3,3,10,2,0,60,0,-152,0,77,83.25,37,87,13,32,27,4,20,136,72,41,27,41,165,123,39,27,107,191,69,23,31,96
104772,1,1,3,3,10,3,0,60,0,-40,97,67,56,0,0,0,29,6,22,46,100,131,105,44,114,22,50,23,0,30,0,0,0,0,0
105523,3,1,9,1,3,3,0,90,0,-37,0,81,46.25,35,53,0,1,0,0,0,26,35,61,27,79,55,152,84,10,77,10,47,5,6,12
108275,1,2,4,3,10,3,1,120,1,-36,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108789,2,1,2,3,4,2,0,70,1,-165,0,27,0,0,0,0,2,0,0,0,14,39,24,1,21,0,0,0,0,0,0,0,0,0,0
111360,2,1,10,1,2,2,3,60,0,-45,0,66,27,0,0,0,0,0,0,0,0,26,16,0,19,16,65,24,11,60,0,1,0,0,0
111548,1,2,3,3,10,2,1,120,0,-152,164,26,21.33333333,0,0,0,15,3,1,13,35,60,93,26,43,48,52,82,17,19,0,0,0,0,0
111926,2,1,4,2,2,2,1,60,0,-44,0,73,83,0,0,0,3,1,0,0,150,128,86,30,126,65,81,48,29,91,0,0,0,0,0
114558,3,1,13,2,0,2,0,60,0,-86,0,81,69.25,0,56,21,54,22,4,19,168,149,43,27,110,141,229,14,29,150,30,55,0,24,77
118887,1,2,5,2,9,2,0,120,0,-96,46,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120999,3,1,4,2,5,2,1,60,0,-60,0,54,74.5,58,71,0,4,2,4,0,38,21,14,4,8,35,60,18,15,54,16,28,0,7,29
122739,2,1,5,3,2,2,0,60,0,-34,0,61,35.5,0,0,0,10,2,3,12,72,47,68,13,35,40,46,73,8,32,0,0,0,0,0
123497,2,1,4,3,10,2,1,60,0,-72,0,80,71,0,0,1,26,33,5,24,66,58,16,26,72,37,37,10,11,33,0,0,0,0,0
123598,4,1,9,3,8,2,0,90,1,-32,0,0,74,72,82,0,0,0,0,0,0,2,0,0,4,104,115,78,56,189,47,26,30,20,50
123957,1,2,8,2,10,2,0,120,0,-39,149,47,68,0,0,7,36,3,1,8,143,98,87,14,49,20,57,34,6,6,0,0,0,0,0
124006,3,2,9,3,2,2,1,70,1,-51,0,61,67,0,69,4,16,16,6,27,79,51,28,9,56,97,73,46,33,94,5,8,0,4,15
124387,1,1,9,4,5,3,0,60,0,-58,135,0,0,0,0,0,7,0,1,4,6,9,17,0,9,0,0,0,0,0,0,0,0,0,0
126394,3,1,11,3,1,2,0,120,0,-37,0,83,92.25,63,76,0,3,4,11,28,46,75,95,19,51,274,259,293,25,193,88,109,82,47,112
126812,3,2,6,3,7,2,0,120,0,-61,0,52,64.25,0,38,38,60,20,22,79,218,160,16,27,152,316,355,70,42,256,134,32,0,11,40
127988,3,1,5,3,5,2,0,150,0,-26,0,72,67.33333333,0,69,0,2,2,0,3,0,7,10,0,12,15,41,16,14,33,11,6,0,1,3
128656,3,2,13,3,4,2,0,60,0,-24,0,77,71.66666667,0,60,0,7,4,0,8,43,37,42,23,96,0,13,4,13,43,0,3,0,1,0
128965,3,1,3,3,3,1,1,60,0,-145,0,71,66.66666667,71,67,0,4,4,0,0,24,14,8,1,24,64,34,16,13,43,10,14,0,5,37
130467,3,1,10,3,10,2,0,60,0,-193,0,80,69.75,52,49,64,60,19,4,40,89,67,16,11,58,175,155,26,16,75,38,33,0,42,56
130671,3,2,10,2,10,2,0,60,0,-45,0,95,70.66666667,0,62,1,44,55,10,26,52,50,66,23,15,120,176,155,18,20,5,7,1,27,12
130837,2,1,9,3,4,2,0,60,1,-39,0,0,0,0,0,0,19,21,4,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
131222,3,1,1,3,1,2,0,60,0,-152,0,78,73,70,84,0,36,20,18,44,226,139,16,11,124,406,254,23,19,197,136,79,7,4,69
132401,2,1,5,2,10,2,0,60,0,-90,0,93,87.66666667,0,47,3,26,20,0,7,126,121,64,15,83,37,130,112,26,124,5,11,0,2,4
135385,3,2,4,3,9,3,0,60,0,-69,0,56,59.25,30,44,0,5,15,0,1,153,146,188,14,106,321,385,259,54,315,58,52,19,9,78
138709,1,1,13,2,4,2,1,60,1,-191,9,0,0,0,0,0,21,12,3,20,36,27,4,6,33,0,0,0,0,0,0,0,0,0,0
138715,1,1,7,3,6,2,0,60,0,-94,160,62,79,0,0,0,0,0,0,0,45,72,71,13,34,37,57,126,15,31,0,0,0,0,0
139843,2,1,8,1,6,2,2,60,0,-139,0,40,8,0,0,0,0,0,0,0,30,20,28,5,17,6,3,6,1,0,0,0,0,0,0
140807,3,2,4,3,6,2,0,60,1,-148,0,82,73,76,62,0,4,1,0,2,453,297,56,28,263,384,327,63,42,236,117,75,0,1,14
141301,1,1,10,2,4,2,2,150,0,-137,49,84,0,0,0,21,16,19,2,32,111,67,70,5,20,0,7,1,1,3,0,0,0,0,0
142998,1,2,8,1,9,3,1,120,1,-193,-3,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144895,3,1,4,3,10,2,0,60,0,-152,0,69,87.25,70,73,30,39,39,4,66,282,99,24,10,44,311,128,20,14,88,106,38,0,0,30
146485,2,1,13,2,10,2,0,90,0,-115,0,88,68.25,39,38,74,107,37,12,33,65,65,29,13,24,162,100,13,2,7,0,6,0,0,0
146666,2,2,4,1,3,3,0,120,0,-29,0,60,46.25,18,38,0,0,0,0,0,0,23,21,9,65,111,92,90,22,145,12,22,2,1,16
148008,2,1,8,3,8,2,2,60,0,-75,0,63,60,0,0,0,0,0,0,0,74,85,48,23,35,24,53,107,13,2,0,0,0,0,0
148515,2,2,9,2,2,2,1,60,0,-164,0,0,0,0,0,0,3,0,0,0,0,7,5,1,11,0,0,0,0,0,0,0,0,0,0
156783,3,1,5,2,1,2,0,60,0,-54,0,87,70.25,59,80,4,39,36,4,17,33,86,89,16,34,81,163,189,12,57,1,14,2,0,36
157310,3,2,5,2,7,2,0,210,0,-16,0,69,72,25,73,6,28,11,3,12,36,101,73,28,91,77,87,89,13,20,26,52,20,23,25
158611,3,1,6,1,5,2,1,60,0,-61,0,55,51.75,36,69,6,23,10,6,46,57,52,44,7,47,26,124,109,13,31,10,17,1,13,21
160178,1,1,4,3,8,2,0,60,0,-89,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162337,2,2,10,2,2,2,0,120,0,-96,0,65,0,0,0,62,70,38,9,36,273,133,58,5,18,0,0,0,0,0,0,1,0,0,0
164935,3,1,8,1,8,2,0,60,0,-137,0,94,73,58,78,1,10,2,1,11,10,33,7,3,8,8,97,17,26,95,27,58,18,24,115
165178,1,2,10,3,7,2,0,120,0,-129,37,59,55.25,0,40,56,64,21,3,19,101,76,10,1,21,55,114,38,17,36,0,1,0,0,0
169079,4,1,10,3,2,2,0,120,0,-54,0,98,93,95,96,26,29,31,25,71,248,227,99,20,71,137,214,149,17,48,34,57,9,32,53
169700,2,1,8,5,6,3,0,60,0,-148,0,0,0,0,0,0,1,1,0,0,0,9,8,2,9,0,0,0,0,0,0,0,0,0,0
172965,1,1,9,4,3,3,0,150,0,-54,-32,0,0,0,0,0,4,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0
173004,2,2,12,1,3,2,1,90,0,-32,0,53,68.25,61,42,0,8,0,0,0,0,3,0,0,0,4,13,0,10,5,56,36,2,2,14
173370,3,1,1,2,1,2,0,60,0,-57,0,62,65.75,55,64,0,11,3,2,5,222,124,85,20,41,222,169,78,29,29,92,36,0,19,54
177354,3,2,11,2,5,2,1,90,0,-59,0,96,90.5,81,76,0,15,24,0,6,43,37,62,10,15,80,120,147,23,71,26,25,28,16,45
178020,3,2,2,5,9,2,0,120,0,-40,0,72,67.66666667,29,62,0,9,36,4,19,0,28,53,13,40,2,84,180,61,157,48,59,24,36,60
179718,2,2,7,1,9,3,2,150,1,-40,0,77,66,0,0,26,37,44,9,92,63,66,25,45,120,48,133,86,40,192,11,17,0,1,15
179904,2,1,8,3,10,2,0,90,0,-108,0,65,60,0,0,0,0,0,0,0,156,70,31,32,118,30,36,28,13,43,0,0,0,0,0
180651,3,1,5,2,10,2,0,60,0,-60,0,87,90,75,76,2,32,21,19,26,18,38,16,14,39,18,95,23,56,290,0,4,0,7,9
184025,2,2,13,2,9,3,0,120,0,-148,0,0,0,0,0,0,0,0,0,0,37,22,19,3,21,0,0,0,0,0,0,0,0,0,0
185024,1,2,10,2,6,2,0,180,1,-61,170,0,0,0,0,8,27,22,24,9,33,40,0,7,20,3,14,5,1,2,0,0,0,0,0
185127,3,1,2,3,9,2,1,60,0,-54,0,91,72.5,0,82,0,4,5,0,1,20,37,4,6,36,29,39,14,21,52,18,38,0,10,40
188875,2,1,5,1,4,3,0,60,0,-81,0,58,0,0,0,0,0,0,0,0,71,34,25,6,43,0,0,0,0,0,0,0,0,0,0
189624,3,1,10,3,3,2,0,150,0,-151,0,84,74,46,69,81,106,15,6,26,141,198,105,22,134,80,272,285,36,198,27,46,3,7,28
191445,2,1,1,2,8,2,0,60,0,-57,0,71,63,0,40,0,6,9,0,0,112,123,40,28,117,86,120,51,21,107,5,18,2,8,21
198953,1,2,11,2,3,3,2,180,0,-143,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202489,1,1,5,2,6,2,0,60,0,-142,60,45,0,0,0,0,27,8,4,13,55,117,26,35,163,0,2,0,0,0,0,0,0,0,0
203066,3,2,13,3,9,2,0,60,0,-149,0,76,74.75,34,64,28,29,11,9,38,118,60,12,30,73,213,124,20,30,172,21,35,0,3,38
204182,3,1,3,3,1,2,1,60,0,-200,0,72,46.75,53,60,0,11,11,0,2,29,77,59,7,27,26,125,171,46,95,4,45,4,35,101
204505,3,1,8,1,7,2,0,60,0,-89,0,71,67.75,36,71,5,24,26,0,13,49,7032,71,10,35,97,161,322,18,54,54,60,7,43,46
205417,1,1,10,2,5,2,0,60,0,-134,44,0,0,0,0,35,82,5,9,7,61,49,7,3,16,0,0,0,0,0,0,0,0,0,0
205442,3,1,12,1,0,3,0,60,0,-94,0,93,86.25,87,84,6,8,10,13,40,35,46,19,3,45,84,82,50,25,94,88,66,15,5,65
227020,2,1,8,3,2,2,0,60,0,-45,0,91,65.75,53,51,0,14,21,10,7,29,38,21,6,21,28,32,55,19,11,7,5,0,6,15
227167,1,2,7,3,3,2,0,60,0,-107,-9,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227491,1,2,10,3,4,3,1,150,0,-109,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228695,1,1,6,3,7,2,0,120,0,-134,96,75,62,0,0,7,12,6,2,9,29,24,69,14,25,10,15,48,5,18,0,0,0,0,0
228888,3,2,1,3,10,3,0,90,0,-89,0,99,72.66666667,0,91,13,39,25,27,41,74,47,7,23,56,29,27,16,7,38,6,4,0,17,28
230510,2,1,1,2,4,2,0,60,1,-54,0,37,65,0,0,0,12,1,0,6,0,18,40,1,4,15,8,46,11,0,0,0,0,0,0
231572,3,1,3,3,8,2,0,120,0,-199,0,67,48,53,64,0,14,20,2,7,5,19,51,13,16,46,56,116,13,47,35,14,8,17,21
232078,1,1,5,1,4,3,0,60,0,-152,115,41,28,0,0,0,9,3,3,19,14,38,73,17,79,12,50,35,14,57,0,0,0,0,0
234406,3,2,9,1,3,2,0,75,0,-38,0,84,71.5,60,33,0,3,4,0,1,33,49,58,17,41,85,132,148,26,131,7,36,38,16,60
234827,1,1,1,2,1,2,0,120,1,-65,41,0,0,0,0,22,13,15,2,3,8,7,0,0,4,0,0,0,0,0,0,0,0,0,0
235777,1,1,2,3,4,2,2,60,0,-203,215,42,55,0,0,11,66,14,4,18,90,206,75,27,235,18,37,11,2,18,0,0,0,0,0
236150,1,2,11,1,5,3,0,120,0,-163,12,0,0,0,0,0,47,29,20,29,27,14,10,0,7,0,0,0,0,0,0,0,0,0,0
236857,3,1,8,2,10,2,0,120,0,-40,0,59,75,73,49,12,30,18,2,30,113,42,9,5,32,51,55,22,66,131,0,0,0,0,0
236953,3,2,7,3,5,2,2,60,0,-39,0,84,80,79,78,25,34,25,1,38,160,91,27,6,63,277,223,37,9,121,57,97,6,20,60
237418,1,2,2,3,9,3,0,90,1,-53,10,0,0,0,0,0,0,0,0,0,20,20,21,9,35,0,0,0,0,0,0,0,0,0,0
237506,2,1,8,2,3,2,0,60,0,-73,0,0,0,0,0,0,0,0,0,0,0,13,6,13,17,0,0,0,0,0,0,0,0,0,0
237602,3,2,7,2,4,2,1,60,0,-38,0,97,89.75,71,69,18,14,1,1,18,124,102,81,13,74,121,131,36,10,101,31,73,13,21,61
237808,2,1,4,2,1,3,0,60,0,-40,0,49,63,0,0,13,11,4,8,22,184,25,9,24,23,1,7,3,3,3,0,0,0,0,0
238800,2,1,6,3,8,2,0,60,0,-58,0,66,30,4,0,0,1,0,0,0,0,13,50,4,13,3,21,129,18,22,0,0,0,0,0
238983,3,2,10,3,9,2,2,90,1,-36,0,68,84.75,73,78,49,78,16,9,109,427,273,30,25,79,663,451,38,35,159,69,88,16,2,38
240641,3,2,13,3,0,2,0,60,0,-75,0,71,67.25,63,64,0,0,0,0,0,232,131,67,30,57,119,89,63,13,24,6,15,0,0,8
242472,2,1,1,2,2,3,0,60,0,-95,0,80,69.33333333,0,0,0,6,1,3,3,108,129,173,42,161,83,93,75,29,32,0,0,0,0,0
243372,3,1,3,3,10,3,0,75,0,-130,0,68,62.75,55,67,18,56,22,11,34,269,285,17,43,227,215,187,28,30,123,62,50,0,2,13
244738,3,1,2,3,7,2,0,60,0,-93,0,84,85.75,83,69,24,40,32,6,61,113,73,91,16,70,134,150,191,22,184,124,29,1,25,90
245653,2,2,9,1,10,2,0,60,0,-45,0,88,0,0,0,0,31,11,6,26,5,27,30,2,14,0,0,0,0,0,0,0,0,0,0
245946,3,1,11,1,7,2,0,90,0,-22,0,0,0,0,84,22,8,0,0,3,13,34,16,2,22,0,112,31,0,15,0,22,0,3,2
248252,1,2,5,1,6,3,0,90,0,-54,132,23,0,0,0,0,0,0,0,0,3,96,100,3,29,0,0,0,0,0,0,0,0,0,0
248695,2,2,8,3,9,2,0,60,0,-97,0,78,51.25,11,36,0,4,3,1,0,62,81,116,23,31,61,120,215,10,62,1,6,8,6,27
248961,3,1,1,3,5,2,0,120,0,-114,0,80,71.75,74,60,9,19,4,2,10,82,108,18,5,28,66,121,29,16,68,42,44,0,5,8
249704,1,1,8,3,2,2,1,180,0,-73,211,54,33.5,0,0,0,9,6,0,0,79,60,36,4,42,0,24,8,1,5,0,0,0,0,0
250163,3,2,4,3,7,3,0,60,0,-40,0,89,84,67,87,37,90,43,20,90,253,166,26,40,217,278,361,29,89,463,186,57,2,20,93
250456,1,2,4,3,5,2,0,150,0,0,-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250644,1,2,9,1,9,2,0,90,0,-137,107,75,72,0,0,15,27,8,2,16,64,77,37,12,21,4,18,7,3,1,0,0,0,0,0
253579,1,1,13,3,4,2,0,120,0,-137,164,53,33.33333333,0,0,0,13,23,11,18,22,57,20,23,48,7,30,35,12,17,0,0,0,0,0
255622,2,2,1,1,3,2,0,180,0,-23,0,0,0,0,0,0,1,0,10,2,0,15,23,2,18,0,1,0,9,0,0,0,0,0,0
257167,3,1,1,2,10,2,0,120,0,-54,0,96,75.5,47,71,9,34,27,4,17,129,255,162,33,94,88,239,92,39,70,36,50,0,6,18
257359,1,2,1,2,4,2,0,120,0,-71,-52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258010,3,1,1,2,8,2,1,120,0,-38,0,0,53.75,17,58,23,24,6,1,13,22,45,16,16,30,150,149,16,47,136,97,61,16,23,44
258042,3,2,7,1,3,3,0,90,0,-38,0,92,89.25,95,71,32,55,47,10,41,163,133,43,19,47,263,425,47,14,63,54,109,10,10,37
259060,3,2,13,2,4,2,0,60,0,-87,0,76,76.25,75,87,0,0,0,0,0,8,25,62,10,25,28,45,95,21,29,0,9,2,9,24
259641,3,1,13,3,0,3,0,60,0,-87,0,94,80,75,56,21,22,13,3,27,156,137,64,35,112,85,215,189,33,119,25,61,33,18,76
259951,3,2,1,3,10,2,0,60,0,-190,0,42,57.33333333,51,56,0,1,2,0,3,60,24,3,2,8,25,26,15,13,35,13,18,0,10,7
261495,1,2,3,3,7,2,0,90,1,-53,201,49,59.66666667,0,0,38,63,22,5,54,229,285,66,53,142,204,345,140,36,306,0,0,0,0,0
263524,2,2,9,2,3,2,1,60,0,-32,0,68,71,0,0,0,0,0,0,0,0,4,6,0,1,2,19,15,0,1,0,0,0,0,0
266286,3,2,3,1,10,3,0,60,0,-19,0,50,71.5,28,64,17,32,30,0,67,141,99,31,55,250,128,158,49,87,319,352,48,83,1,85
266558,3,1,5,3,2,2,0,90,1,-110,0,57,62.75,0,56,0,6,0,0,0,0,14,10,3,10,48,48,49,8,13,0,5,0,0,0
267871,3,1,5,3,6,3,2,120,0,-114,0,83,65.5,30,51,5,26,24,7,52,0,13,19,3,25,38,117,115,28,74,0,8,5,22,25
268817,1,2,8,2,7,2,0,90,1,-59,87,76,76,0,0,0,4,0,1,0,234,143,39,45,294,28,26,15,0,12,0,0,0,0,0
