ID,final_result,d_male,d_female,Age as of Academic Year 17/18,d_currentyear_FS1,d_currentyear_FS2,d_Grade1-3,d_Grade4-7,d_Grade8-9,d_grade10-11,d_y1-5,d_y6-7,dy89,y10-12,dKG1,d_KG2,d_school1_currentstudent,d_school2_currentstudent,d_New_Admission 18/19,d_previouscurriculum,d_school1,d_school2,americancurr,britishcurr,Math-exam,Science-exam,English-exam,Math19-1,Science19-1,English19-1,Math19-2,Science19-2,English19-2,Math19-3,Science19-3,English19-3,Math20-1,Science20-1,English20-1,Science20-2,English20-2,Science20-3,English20-3
63,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,52,83,91,68,77,94,90,69,86,74,69,64,92,83,93,84,91,83,85
64,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,57,59,63,77,55,86,88,66,71,71,59,61,71,83,89,82,93,96,85
65,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,52,66,85,90,78,75,81,76,71,64,78,95,86,71,64,76,95,85,94
66,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,58,63,74,81,68,62,90,77,57,65,84,67,86,83,70,73,73,96,79
67,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,96,79,87,82,68,72,66,81,83,81,96,92,83,95,89,83,80,83,90
68,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,66,82,66,56,66,60,93,81,92,95,70,76,74,92,69,96,69,81,70
69,Pass with distinction,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,53,86,85,64,86,73,90,75,67,80,50,75,77,80,73,87,93,83,89
70,Pass with distinction,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,95,66,53,50,64,53,64,71,86,51,53,59,70,85,67,88,74,79,91
71,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,52,70,57,73,89,64,57,89,59,54,71,85,94,88,68,85,83,73,70
72,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,61,82,54,93,65,54,94,67,58,66,90,79,75,88,88,87,77,75,79
73,Pass with distinction,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,71,88,51,57,82,63,84,92,77,84,52,90,80,82,89,78,73,87,84
74,Pass with distinction,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,89,59,62,84,63,95,79,86,88,50,50,76,88,73,72,98,80,97,78
75,Pass with distinction,0,1,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,77,59,76,75,60,60,92,55,77,76,68,80,64,68,90,82,78,95,82
76,Pass with distinction,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,84,82,80,73,57,94,81,58,72,88,70,71,86,71,67,79,86,69,70
77,Pass with distinction,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,76,89,64,78,52,53,95,71,94,91,57,51,66,75,90,89,80,88,94
78,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,71,60,87,58,90,88,55,57,55,62,75,77,89,73,78,74,88,76,90
79,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,64,75,69,51,51,57,81,56,58,59,78,67,90,82,77,85,94,80,79
80,Pass with distinction,1,0,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,70,77,98,78,86,63,66,67,73,94,81,78,99,92,88,90,90,83,98
81,Pass with distinction,1,0,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,56,66,94,52,70,76,93,92,91,58,77,85,92,80,92,69,94,78,70
82,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,68,50,89,71,67,90,68,94,89,94,72,76,86,64,82,85,69,77,81
83,Pass with distinction,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,84,87,52,77,81,54,75,88,72,79,56,76,87,85,95,87,93,79,98
84,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,61,66,88,95,73,62,68,94,63,93,50,93,67,86,85,78,95,77,99
85,Pass with distinction,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,76,51,55,66,63,87,77,64,74,95,58,61,63,71,91,92,75,91,70
86,Pass with distinction,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,80,87,87,68,94,85,55,91,85,79,65,93,70,94,89,93,90,91,89
87,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,74,76,74,78,79,60,73,90,72,87,86,75,80,84,92,75,78,97,91
88,Pass with distinction,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,78,54,83,64,57,77,81,84,60,75,90,79,76,91,91,89,87,74,92
89,Pass with distinction,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,90,71,52,87,59,67,66,77,69,78,79,72,77,67,70,87,79,74,90
90,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,61,59,86,90,88,59,75,87,91,74,61,57,71,82,91,99,93,80,73
91,Pass with distinction,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,81,68,68,86,67,85,85,56,92,76,86,80,61,70,67,79,78,78,83
92,Pass with distinction,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,79,90,69,84,80,90,85,82,57,76,81,62,71,65,67,70,82,99,97
93,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,88,79,74,63,84,66,90,84,77,95,78,95,88,93,85,91,91,93,90
94,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,82,80,88,82,74,68,67,72,86,77,77,97,99,79,84,82,79,98,95
95,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,58,60,89,59,68,62,80,60,75,60,72,92,95,94,68,93,71,93,84
96,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,51,92,91,65,51,72,92,67,65,90,50,74,86,64,79,69,84,74,81
97,Pass with distinction,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,70,56,92,54,95,60,81,74,61,72,92,74,86,72,87,83,99,94,91
98,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,99,82,70,62,65,86,83,68,73,95,94,80,79,90,85,87,76,92,80
99,Pass with distinction,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,66,79,75,65,72,55,65,79,76,69,69,57,62,68,73,76,87,88,69
100,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,74,82,68,56,78,90,69,55,57,67,66,58,75,80,72,83,69,80,74
101,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,56,78,78,84,65,55,77,58,66,85,55,86,65,75,66,97,81,77,93
102,Pass with distinction,0,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,69,94,67,68,54,78,95,93,88,66,59,76,93,95,72,92,82,89,82
103,Pass with distinction,1,0,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,81,61,80,78,72,82,88,93,88,61,88,88,64,76,62,87,70,99,81
104,Pass with distinction,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,85,72,72,83,82,74,84,83,64,53,93,67,75,82,89,97,81,80,86
105,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,76,84,98,82,77,90,77,68,74,88,95,86,92,83,92,89,76,82,94
106,Pass with distinction,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,72,51,85,63,52,95,95,65,95,54,76,65,74,78,83,90,96,94,95
107,Pass with distinction,1,0,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,63,51,84,76,60,71,59,69,89,91,87,58,89,82,91,82,73,84,88
108,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,84,91,52,85,66,69,60,60,59,56,86,93,71,60,71,94,95,82,99
109,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,83,81,57,60,55,65,62,66,90,77,72,91,83,91,68,99,73,79,84
110,Pass with distinction,0,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,83,88,85,84,64,83,82,79,69,94,89,89,80,75,93,78,88,89,91
111,Pass with distinction,1,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,66,85,52,76,91,52,95,82,70,89,87,78,83,94,60,96,94,98,93
112,Pass with distinction,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,92,62,76,66,91,59,84,61,78,78,87,89,89,82,87,94,93,89,97
113,Pass with distinction,1,0,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,51,91,69,87,80,51,59,55,89,92,68,65,82,74,67,94,83,85,78
114,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,73,100,92,64,86,81,65,71,81,76,82,73,75,92,93,80,77,92,89
115,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,94,72,52,92,62,53,56,66,57,75,84,79,69,95,85,91,74,85,87
116,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,78,52,59,75,51,50,80,74,79,59,60,88,79,89,92,72,95,89,96
117,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,89,80,86,70,82,84,87,71,62,74,75,50,64,68,87,99,77,69,87
118,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,60,58,80,76,80,82,82,69,89,80,58,68,67,78,65,93,73,89,93
119,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,55,79,68,71,66,51,70,81,79,59,88,79,85,83,87,71,98,70,91
120,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,63,57,72,57,87,69,86,67,83,85,68,77,81,89,80,71,81,81,99
121,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,53,80,75,71,95,80,94,79,86,79,94,58,82,71,93,78,99,94,85
122,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,82,76,75,86,86,84,70,82,63,57,63,69,61,90,71,79,76,85,92
123,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,53,78,50,65,90,87,78,92,70,69,59,87,93,84,64,74,80,92,75
124,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,77,59,66,71,64,70,72,60,67,93,69,75,74,79,85,99,74,76,86
125,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,80,83,61,87,59,85,85,65,74,87,93,66,95,89,63,77,81,85,99
126,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,71,73,86,79,73,60,66,76,63,91,67,72,75,77,95,94,82,93,80
127,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,74,64,58,80,58,56,90,73,95,93,65,64,63,86,93,93,99,83,97
128,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,68,90,83,64,71,66,69,55,82,79,92,61,65,71,79,95,76,70,85
129,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,73,53,68,58,75,87,76,82,59,87,52,64,73,73,88,94,79,69,93
130,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,70,61,50,53,52,56,91,64,59,81,70,51,83,84,93,84,87,88,79
131,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,54,76,58,65,56,75,85,81,72,90,67,59,82,62,73,87,73,99,78
132,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,82,53,91,73,68,93,76,72,84,83,92,54,83,82,66,93,79,81,95
133,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,57,64,89,61,68,77,87,67,70,86,82,78,66,81,63,79,96,86,92
134,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,92,62,75,87,94,60,91,86,76,87,95,76,76,65,92,94,91,74,80
135,Pass with distinction,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,83,57,64,67,68,69,56,74,79,78,56,54,83,76,71,89,76,74,93
136,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,70,51,61,88,91,81,76,63,56,93,66,67,88,94,80,93,92,74,72
137,Pass,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,52,82,86,73,84,84,91,89,95,84,52,79,67,62,78,95,79,71,76
138,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,91,76,89,73,57,50,89,89,90,91,55,81,67,87,75,96,95,98,79
139,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,79,50,61,62,92,94,58,85,58,79,57,79,61,71,77,97,72,72,75
140,Pass with distinction,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,70,76,71,53,90,93,95,73,73,55,64,95,93,68,91,83,89,82,77
141,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,59,77,69,56,73,87,83,85,65,81,91,94,88,82,75,69,72,80,70
142,Pass with distinction,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,83,88,96,64,61,88,79,87,87,75,92,83,90,80,92,75,84,95,82
