traveltime,G1,G2,G3
2,18,18,18
1,17,17,17
2,17,18,18
3,9,0,0
2,10,11,11
3,12,13,14
3,12,13,14
2,8,8,10
2,11,12,13
1,5,0,0
3,9,10,10
2,5,0,0
2,18,18,18
2,11,11,12
1,8,10,11
2,11,11,12
2,8,0,0
2,14,14,15
2,10,11,11
1,10,10,10
2,12,12,12
2,15,14,15
2,14,13,14
2,19,17,18
3,16,15,15
2,13,12,13
1,15,14,15
2,13,13,13
2,8,10,9
2,15,16,16
3,8,8,9
2,10,10,10
3,7,5,0
3,9,10,10
1,10,11,12
1,7,8,9
2,15,17,17
4,10,11,12
2,7,8,9
1,13,14,14
1,16,16,16
1,8,9,9
1,17,18,19
2,7,7,0
2,14,15,16
2,5,8,0
2,7,7,0
2,14,17,15
2,6,9,11
3,7,9,10
1,10,11,10
1,15,15,16
2,11,12,9
2,10,10,10
3,10,11,11

